date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:56:31	634/634	---M--	200	added ('OK')	image/png	etag:%228036637fe9d4ce1:0%22	http://www.devmedia.com.br/imagens/2013/dash.png	D:/parte2-backend/back-end/www.devmedia.com.br/imagens/2013/dash.png	(from http://www.devmedia.com.br/css/2013/devmedia-header-footer.min.css?d=73.76)
22:56:31	8777/8777	---M--	200	added ('OK')	image/png	etag:%2203f531e728ace1:0%22	http://www.devmedia.com.br/imagens/2013/glyphicons-halflings-white.png	D:/parte2-backend/back-end/www.devmedia.com.br/imagens/2013/glyphicons-halflings-white-2.png	(from http://www.devmedia.com.br/css/2013/devmedia-header-footer.min.css?d=73.76)
22:56:31	617/617	---M--	200	added ('OK')	image/png	etag:%2280765d542bc5ce1:0%22	http://www.devmedia.com.br/imagens/2013/tecnologias.png	D:/parte2-backend/back-end/www.devmedia.com.br/imagens/2013/tecnologias.png	(from http://www.devmedia.com.br/css/2013/devmedia-header-footer.min.css?d=73.76)
22:56:31	733/733	---M--	200	added ('OK')	image/png	etag:%2206f7872bc5ce1:0%22	http://www.devmedia.com.br/imagens/2013/revistas.png	D:/parte2-backend/back-end/www.devmedia.com.br/imagens/2013/revistas.png	(from http://www.devmedia.com.br/css/2013/devmedia-header-footer.min.css?d=73.76)
22:56:31	560/560	---M--	200	added ('OK')	image/png	etag:%22801e8cc2ec5ce1:0%22	http://www.devmedia.com.br/imagens/2013/cursos.png	D:/parte2-backend/back-end/www.devmedia.com.br/imagens/2013/cursos.png	(from http://www.devmedia.com.br/css/2013/devmedia-header-footer.min.css?d=73.76)
22:56:32	817/817	---M--	200	added ('OK')	image/png	etag:%2280f10a92bc5ce1:0%22	http://www.devmedia.com.br/imagens/2013/poketvideos.png	D:/parte2-backend/back-end/www.devmedia.com.br/imagens/2013/poketvideos.png	(from http://www.devmedia.com.br/css/2013/devmedia-header-footer.min.css?d=73.76)
22:56:32	964/964	---M--	200	added ('OK')	image/png	etag:%220fa629d2ec5ce1:0%22	http://www.devmedia.com.br/imagens/2013/devware.png	D:/parte2-backend/back-end/www.devmedia.com.br/imagens/2013/devware.png	(from http://www.devmedia.com.br/css/2013/devmedia-header-footer.min.css?d=73.76)
22:56:32	624/624	---M--	200	added ('OK')	image/png	etag:%2204813523c5ce1:0%22	http://www.devmedia.com.br/imagens/2013/iphone.png	D:/parte2-backend/back-end/www.devmedia.com.br/imagens/2013/iphone.png	(from http://www.devmedia.com.br/css/2013/devmedia-header-footer.min.css?d=73.76)
22:56:32	897/897	---M--	200	added ('OK')	image/png	etag:%22806d29912bc5ce1:0%22	http://www.devmedia.com.br/imagens/2013/forum.png	D:/parte2-backend/back-end/www.devmedia.com.br/imagens/2013/forum.png	(from http://www.devmedia.com.br/css/2013/devmedia-header-footer.min.css?d=73.76)
22:56:33	594/594	---M--	200	added ('OK')	image/png	etag:%220b4fd9260d5ce1:0%22	http://www.devmedia.com.br/imagens/2013/servicos.png	D:/parte2-backend/back-end/www.devmedia.com.br/imagens/2013/servicos.png	(from http://www.devmedia.com.br/css/2013/devmedia-header-footer.min.css?d=73.76)
